2,0,1,1
1.9954,1.5e-06,0.99988,0.99556
1.9818,6e-06,0.99951,0.98229
1.9592,1.35e-05,0.99889,0.96029
1.9278,2.4e-05,0.99802,0.92978
1.8879,3.75e-05,0.9969,0.89101
1.8399,5.4e-05,0.99554,0.84433
1.7841,7.35e-05,0.99392,0.79016
1.7211,9.6e-05,0.99205,0.72897
1.6514,0.0001215,0.98993,0.66131
1.5755,0.00015,0.98757,0.58779
1.4942,0.0001815,0.98495,0.50904
1.4081,0.000216,0.98207,0.42578
1.3179,0.0002535,0.97895,0.33874
1.2246,0.000294,0.97558,0.24869
1.1287,0.0003375,0.97196,0.15643
1.0313,0.000384,0.96808,0.062791
0.93298,0.0004335,0.96396,-0.031411
0.83473,0.000486,0.95958,-0.12533
0.73735,0.0005415,0.95496,-0.21814
0.64166,0.0006,0.95008,-0.30902
0.54847,0.0006615,0.94496,-0.39715
0.45856,0.000726,0.93959,-0.48175
0.37268,0.0007935,0.93397,-0.56208
0.29154,0.000864,0.9281,-0.63742
0.21582,0.0009375,0.92199,-0.70711
0.14613,0.001014,0.91563,-0.77051
0.083045,0.0010935,0.90903,-0.82708
0.027057,0.001176,0.90219,-0.87631
-0.021391,0.0012615,0.8951,-0.91775
-0.061931,0.00135,0.88778,-0.95106
-0.094267,0.0014415,0.88021,-0.97592
-0.11817,0.001536,0.8724,-0.99211
-0.13351,0.0016335,0.86436,-0.99951
-0.14021,0.001734,0.85608,-0.99803
-0.13828,0.0018375,0.84757,-0.98769
-0.12781,0.001944,0.83883,-0.96858
-0.10897,0.0020535,0.82986,-0.94088
-0.082008,0.002166,0.82065,-0.90483
-0.047238,0.0022815,0.81122,-0.86074
-0.00505,0.0024,0.80157,-0.80902
0.044099,0.0025215,0.79169,-0.75011
0.099687,0.002646,0.78159,-0.68455
0.16114,0.0027735,0.77127,-0.61291
0.22781,0.002904,0.76073,-0.53583
0.29903,0.0030375,0.74998,-0.45399
0.37407,0.003174,0.73902,-0.36812
0.45217,0.0033135,0.72784,-0.27899
0.53254,0.003456,0.71646,-0.18738
0.61437,0.0036015,0.70488,-0.094108
0.69684,0.00375,0.69309,-1.837e-16
0.77911,0.0039015,0.6811,0.094108
0.86035,0.004056,0.66891,0.18738
0.93974,0.0042135,0.65653,0.27899
1.0165,0.004374,0.64396,0.36812
1.0897,0.0045375,0.6312,0.45399
1.1588,0.004704,0.61825,0.53583
1.2229,0.0048735,0.60513,0.61291
1.2814,0.005046,0.59182,0.68455
1.3337,0.0052215,0.57834,0.75011
1.3791,0.0054,0.56468,0.80902
1.4172,0.0055815,0.55085,0.86074
1.4475,0.005766,0.53686,0.90483
1.4695,0.0059535,0.52271,0.94088
1.4831,0.006144,0.50839,0.96858
1.4879,0.0063375,0.49392,0.98769
1.4839,0.006534,0.4793,0.99803
1.4708,0.0067335,0.46453,0.99951
1.4487,0.006936,0.44962,0.99211
1.4176,0.0071415,0.43456,0.97592
1.3778,0.00735,0.41937,0.95106
1.3294,0.0075615,0.40405,0.91775
1.2727,0.007776,0.3886,0.87631
1.2081,0.0079935,0.37302,0.82708
1.136,0.008214,0.35732,0.77051
1.0571,0.0084375,0.34151,0.70711
0.97167,0.008664,0.32558,0.63742
0.88052,0.0088935,0.30955,0.56208
0.78429,0.009126,0.29341,0.48175
0.68368,0.0093615,0.27717,0.39715
0.57946,0.0096,0.26084,0.30902
0.4724,0.0098415,0.24442,0.21814
0.36333,0.010086,0.22791,0.12533
0.25307,0.010334,0.21132,0.031411
0.14245,0.010584,0.19466,-0.062791
0.032325,0.010838,0.17792,-0.15643
-0.076478,0.011094,0.16112,-0.24869
-0.18313,0.011354,0.14425,-0.33874
-0.28684,0.011616,0.12733,-0.42578
-0.38681,0.011882,0.11035,-0.50904
-0.48231,0.01215,0.093326,-0.58779
-0.57263,0.012422,0.076259,-0.66131
-0.65712,0.012696,0.059153,-0.72897
-0.73517,0.012974,0.042014,-0.79016
-0.80623,0.013254,0.024847,-0.84433
-0.86981,0.013538,0.0076576,-0.89101
-0.9255,0.013824,-0.0095503,-0.92978
-0.97295,0.014114,-0.026771,-0.96029
-1.0119,0.014406,-0.044,-0.98229
-1.0421,0.014702,-0.061231,-0.99556
-1.0635,0.015,-0.078459,-1
-1.0759,0.015302,-0.09568,-0.99556
-1.0796,0.015606,-0.11289,-0.98229
-1.0745,0.015914,-0.13008,-0.96029
-1.0608,0.016224,-0.14724,-0.92978
-1.0388,0.016537,-0.16438,-0.89101
-1.009,0.016854,-0.18148,-0.84433
-0.97153,0.017173,-0.19855,-0.79016
